Country,Code,Year,Homicide Rate
0,0,1987,0.21251516
0,0,1988,0.49715698
0,0,1989,0.42777455
0,0,1992,0.50841904
0,0,1993,1.4649278
0,0,1994,1.3302777
0,0,1995,2.3123906
0,0,1996,2.4875584
0,0,1997,12.290573
0,0,1998,5.8130655
0,0,1999,4.181209
0,0,2000,0.7246254
0,0,2001,2.0609462
0,0,2002,1.6938014
0,0,2003,1.7445644
0,0,2004,0.900428
0,0,2007,0.50065535
0,0,2008,0.6236585
0,0,2010,1.1190927
1,3,1961,3.4475625
1,3,1973,5.7875395
1,3,1977,3.0779648
1,3,1991,4.070998
1,3,1994,3.962593
1,3,2002,3.627131
1,3,2003,3.6248958
1,3,2004,7.256631
1,3,2009,3.6258159
2,1,1966,1.1818719
2,1,1967,1.7521081
2,1,1968,1.9428668
2,1,1969,2.3690674
2,1,1970,2.251953
2,1,1977,2.6493242
2,1,1978,2.1271956
2,1,1979,1.3143308
2,1,1980,1.2353032
2,1,1981,1.329904
2,1,1982,1.6074283
2,1,1983,1.3641217
2,1,1984,1.7017756
2,1,1985,1.7175941
2,1,1986,2.0729725
2,1,1987,2.35247
2,1,1988,2.3421855
2,1,1989,2.7457523
2,1,1990,2.0749135
2,1,1991,1.6701546
2,1,1992,2.0180104
2,1,1993,1.8532932
2,1,1994,1.8810688
2,1,1995,1.8439021
2,1,1996,2.2906373
2,1,1997,2.3686345
2,1,1998,2.1699753
2,1,1999,2.30204
2,1,2000,2.6666224
2,1,2001,3.2624426
2,1,2002,3.5657713
2,1,2003,3.1956139
2,1,2004,2.5676267
2,1,2005,2.373674
2,1,2006,2.173368
2,1,2007,1.8316021
2,1,2008,2.1916938
2,1,2009,2.1869268
2,1,2010,1.9902661
2,1,2011,2.3693504
2,1,2012,2.3363094
2,1,2013,2.550932
2,1,2014,2.5465868
2,1,2015,2.4434192
2,1,2016,1.9963133
2,1,2017,1.6923169
2,1,2018,1.6023188
2,1,2019,1.47297
3,2,1981,0.4574827
3,2,1985,0.15375485
3,2,1986,0.38363916
3,2,1987,0.15288135
3,2,1988,0.5337302
3,2,1989,0.45007405
3,2,1990,0.87885946
3,2,1991,0.86481065
3,2,1992,5.2507257
3,2,1993,1.7351301
3,2,1994,0.61998296
3,2,1995,1.3441062
3,2,1996,0.64182174
3,2,1997,0.16311458
3,2,1998,0.4157513
3,2,1999,0.6807914
3,2,2000,0.17489581
3,2,2001,0.09005099
3,2,2002,0.4621901
3,2,2003,0.3789271
3,2,2007,0.32174066
3,2,2008,0.2219342
3,2,2009,0.5732946
3,2,2010,0.23735322
3,2,2011,0.36899143
3,2,2012,0.25385413
3,2,2013,0.12997884
3,2,2015,0.26610324
3,2,2016,0.26812923
3,2,2017,0.26994926
3,2,2018,0.13581678
3,2,2019,0.27296934
4,4,1950,0.84329027
4,4,1951,0.7052885
4,4,1952,1.0528368
4,4,1953,0.65506655
4,4,1954,0.6950028
4,4,1955,0.73060495
4,4,1956,0.73411804
4,4,1957,0.7098101
4,4,1958,0.93471664
4,4,1959,0.692509
4,4,1960,0.6711326
4,4,1961,0.7518808
4,4,1962,0.8055219
4,4,1963,0.9769646
4,4,1964,1.1892744
4,4,1965,0.8680453
4,4,1966,0.6731654
4,4,1967,0.73197156
4,4,1968,0.74567014
4,4,1969,0.7342702
4,4,1970,1.0143988
4,4,1971,1.1531408
4,4,1972,0.8289128
4,4,1973,1.1412821
4,4,1974,0.9546143
4,4,1975,0.8920315
4,4,1976,0.87177396
4,4,1977,1.485948
4,4,1978,0.83298194
4,4,1979,0.8550029
4,4,1980,1.195371
4,4,1981,0.936073
4,4,1982,1.1934975
4,4,1983,0.89517397
4,4,1984,1.0748382
4,4,1985,1.1531523
4,4,1986,1.1096507
4,4,1987,1.1433729
4,4,1988,1.1167532
4,4,1989,1.0519891
4,4,1990,1.1847149
4,4,1991,1.0104355
